Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
Jedna věc je očividná : Žatecko je výrazným agrárním regionem a v jaké finanční situaci jsou státní statky a podnikatelé v zemědělství vůbec , to snad nemusím tady rozvádět .	Jedn @@a věc je oč @@i @@vid @@n @@á : Žatec @@k @@o je vý @@raz @@n @@ým agr @@ár @@n @@ím region @@em a v jak @@é finanč @@n @@í situ @@ac @@i js @@ou stát @@n @@í sta @@t @@k @@y a pod @@nik @@a @@tel @@é v zem @@ě @@děl @@stv @@í vůbec , t @@o snad ne @@mus @@í @@m tady roz @@vád @@ě @@t .
Platí jednoduchá rovnice : Čím větší obtíže budou mít naši klienti ( a to se samozřejmě netýká jen zemědělců , ale všech ) , s tím vyššími vyvolanými náklady bychom se museli jako jejich věřitel potýkat .	Plat @@í jedn @@o @@duch @@á rovn @@ic @@e : Č @@í @@m vět @@š @@í ob @@tíž @@e bud @@ou m @@í @@t n @@a @@š @@i klient @@i ( a t @@o s @@e sam @@o @@zř @@ejm @@ě ne @@týk @@á jen zem @@ě @@děl @@c @@ů , ale vš @@e @@ch ) , s t @@ím vyš @@š @@ími vy @@vol @@a @@n @@ými ná @@klad @@y by @@chom s @@e mus @@e @@l @@i jako je @@j @@i @@ch věř @@i @@tel po @@týk @@a @@t .
Nemám na mysli jen samotné bankroty , ale třeba případy , kdy zbytkové podniky vydávají majetek , který je v zástavě , uchazečům o restituční nároky .	Ne @@m @@á @@m na mysl @@i jen sam @@ot @@n @@é bank @@rot @@y , ale třeb @@a pří @@pad @@y , kdy z @@by @@t @@k @@ov @@é pod @@nik @@y vy @@d @@á @@v @@aj @@í maj @@et @@ek , kter @@ý je v zá @@stav @@ě , u @@chaz @@eč @@ům o re @@stitu @@č @@n @@í ná @@rok @@y .
Premiér , když mluvil o konkurenční úrovni nákladů , měl zřejmě na mysli obojí trh - domácí i v zahraničí .	Prem @@iér , když mluv @@i @@l o konkur @@enč @@n @@í ú @@rov @@n @@i ná @@klad @@ů , m @@ě @@l zř @@ejm @@ě na mysl @@i ob @@oj @@í trh - dom @@á @@c @@í i v za @@hran @@ič @@í .
Když řeknu , že se nás ten druhý - zahraniční trh - ještě netýká , asi nemám úplně pravdu .	Když řek @@n @@u , že s @@e n @@á @@s t @@en druh @@ý - za @@hran @@ič @@n @@í trh - ještě ne @@týk @@á , asi ne @@m @@á @@m ú @@pln @@ě prav @@d @@u .
Týká , protože je otázka času , kdy si zahraniční banky najdou cestu přímo do regionů , případně kdy si zajímavé klienty z regionů začnou zvát do své pražské pobočky .	Týk @@á , pro @@t @@o @@že je o @@táz @@k @@a čas @@u , kdy s @@i za @@hran @@ič @@n @@í bank @@y na @@jd @@ou cest @@u přím @@o do region @@ů , pří @@pad @@n @@ě kdy s @@i za @@jím @@a @@v @@é klient @@y z region @@ů za @@č @@n @@ou zv @@á @@t do s @@v @@é praž @@sk @@é po @@boč @@k @@y .
A už kvůli tomu nesmíme být drazí .	A už kvůli t @@o @@mu ne @@sm @@í @@me bý @@t draz @@í .
Jan Zuda , generální ředitel Krušnohorských strojíren , a . s . , Most - Komořany : Jsem rád , že konečně se bavíme o tom , že úsilí o zdar ekonomické reformy se ztotožňuje s úsilím o evropský standard produktivity práce , či jinými slovy o evropský standard nákladů a jejich strukturu .	Jan Zud @@a , generál @@n @@í řed @@i @@tel Krušn @@o @@hor @@sk @@ých stroj @@íren , a . s . , Most - Komoř @@an @@y : Js @@em rád , že koneč @@n @@ě s @@e bav @@í @@me o t @@o @@m , že ú @@sil @@í o z @@dar eko @@nom @@ick @@é re @@form @@y s @@e z @@to @@tož @@ň @@uje s ú @@sil @@í @@m o evrop @@sk @@ý standard pro @@dukt @@iv @@it @@y prác @@e , či jin @@ý @@m @@i slov @@y o evrop @@sk @@ý standard ná @@klad @@ů a je @@j @@i @@ch strukt @@ur @@u .
Naše firma by se možná mohla tvářit , že se jí premiérova slova netýkají , protože za loňský rok dosáhla skoro padesáti milionů korun bilančního zisku , což je ve srovnání s našimi kolegy - strojaři - v dnešní krizi docela pěkný výkon .	N @@a @@š @@e firm @@a by s @@e mož @@ná moh @@l @@a tvář @@i @@t , že s @@e j @@í prem @@iér @@ov @@a slov @@a ne @@týk @@aj @@í , pro @@t @@o @@že za loň @@sk @@ý rok do @@sáh @@l @@a skoro pa @@desát @@i mili @@on @@ů korun bilanč @@n @@ího zisk @@u , c @@o @@ž je ve s @@rovn @@á @@n @@í s n @@a @@š @@i @@m @@i koleg @@y - stroj @@ař @@i - v dneš @@n @@í kriz @@i do @@cel @@a pěkn @@ý vý @@kon .
Když jsme si však dělali rozbor nákladů na rok 1994 , tak začínám mít jiný názor - riziko oslabení konkurenční schopnosti tu samozřejmě existuje , a je věcí managementu , jak ho včas neutralizovat .	Když js @@me s @@i však děl @@a @@l @@i roz @@bor ná @@klad @@ů na rok 1994 , tak za @@č @@ín @@á @@m m @@í @@t jin @@ý ná @@zor - rizik @@o o @@slab @@en @@í konkur @@enč @@n @@í s @@chop @@n @@ost @@i tu sam @@o @@zř @@ejm @@ě exist @@uje , a je věc @@í manage @@ment @@u , jak ho v @@čas neutr @@al @@iz @@ova @@t .
Že zvedneme platy , to je mimo diskuzi stejně jako to , že jediná cesta , jak tento vliv utlumit , je překrýt ho růstem produktivity práce .	Že z @@ved @@ne @@me plat @@y , t @@o je mimo diskuz @@i stejn @@ě jako t @@o , že jedin @@á cest @@a , jak t @@en @@t @@o vliv u @@tlum @@i @@t , je pře @@krý @@t ho růst @@e @@m pro @@dukt @@iv @@it @@y prác @@e .
Vedle toho tu jsou další komplikující vlivy , třeba další růst cen energií , či metodické vlivy , viz lednovou zálohu na sociální pojištění a příspěvek státní politice zaměstnanosti .	Ve @@dl @@e t @@o @@ho tu js @@ou dal @@š @@í kom @@plik @@uj @@íc @@í v @@li @@v @@y , třeb @@a dal @@š @@í růst cen energ @@i @@í , či metod @@ic @@k @@é v @@li @@v @@y , viz led @@n @@ov @@ou zá @@loh @@u na soci @@ál @@n @@í po @@jišt @@ěn @@í a pří @@spě @@v @@ek stát @@n @@í polit @@ic @@e za @@měst @@n @@an @@ost @@i .
Jestli proto hovořím o potřebě prorazit nákladovou bariéru rostoucí produktivitou práce , pak zároveň říkám , že to lze provést pouze hlubokými změnami uvnitř firmy - ať již jde o snižování některých nákladů , ( kde víme , že ještě existuje nějaká rezerva ) , tak o strukturální změny v sortimentu a jeho vyšší prodejnosti .	Jest @@li pro @@t @@o hovoř @@í @@m o po @@třeb @@ě pro @@raz @@i @@t ná @@klad @@ov @@ou bariér @@u rost @@ou @@c @@í pro @@dukt @@iv @@it @@ou prác @@e , pak zá @@roveň řík @@á @@m , že t @@o lze pro @@vés @@t pouz @@e hlub @@ok @@ými z @@měn @@ami u @@v @@nitř firm @@y - ať již jd @@e o s @@niž @@ová @@n @@í ně @@kter @@ý @@ch ná @@klad @@ů , ( kd @@e v @@í @@me , že ještě exist @@uje ně @@jak @@á re @@zerv @@a ) , tak o strukt @@ur @@ál @@n @@í z @@měn @@y v sortiment @@u a je @@ho vyš @@š @@í pro @@d @@ej @@n @@ost @@i .
Máme to štěstí , že západní konkurence není tak daleko - na hranici dohlédnu z okna své kanceláře - a že si umíme spočítat , kde zaostávají i německé náklady a jejich struktura za strukturou opravdu špičkových světových producentů .	M @@á @@me t @@o štěst @@í , že zá @@pad @@n @@í kon @@kur @@enc @@e není tak dal @@ek @@o - na hran @@ic @@i do @@hléd @@n @@u z okn @@a s @@v @@é kancelář @@e - a že s @@i um @@í @@me s @@po @@čít @@a @@t , kd @@e za @@o @@stá @@v @@aj @@í i něm @@ec @@k @@é ná @@klad @@y a je @@j @@i @@ch struktur @@a za strukt @@ur @@ou o @@prav @@d @@u špič @@k @@ov @@ých svět @@ov @@ých pro @@duc @@ent @@ů .
Text ke kresbě	Text ke kres @@b @@ě
KDO TO ZVLÁDNE , MÁ ŠANCI :	KD @@O T @@O Z @@VLÁD @@NE , M @@Á ŠANC @@I :
Stačí " tak málo " - snížit náklady .	Stač @@í " tak mál @@o " - s @@níž @@i @@t ná @@klad @@y .
Američané v Tatře po půl roce	Američ @@an @@é v Tatř @@e po půl roc @@e
I přes nepříznivý hospodářský výsledek roku 1993 jsou první změny k lepšímu patrné	I přes ne @@pří @@zn @@i @@v @@ý hospod @@ář @@sk @@ý vý @@sled @@ek rok @@u 1993 js @@ou prv @@n @@í z @@měn @@y k lep @@š @@í @@mu patr @@n @@é
V červnu minulého roku nastoupil do vedení Tatry Kopřivnice tým amerických manažerů v čele s Geraldem Greenwaldem .	V červn @@u mi @@nu @@l @@ého rok @@u na @@stoup @@i @@l do ved @@en @@í Tatr @@y Kopřiv @@nic @@e tým americ @@k @@ých manaž @@er @@ů v čel @@e s Gerald @@em Green @@wald @@em .
Stalo se to v situaci , kdy dluhy tohoto výrobce nákladních automobilů dosáhly výše 3.75 miliardy korun , pro nedostatek provozního kapitálu se opakovaně přerušovala výroba a objevovaly se i úvahy o bankrotu této firmy s vynikající tradicí .	Sta @@l @@o s @@e t @@o v situ @@ac @@i , kdy dluh @@y t @@o @@ho @@t @@o vý @@rob @@c @@e ná @@klad @@n @@ích auto @@mobil @@ů do @@sáh @@l @@y výš @@e 3.75 mili @@ard @@y korun , pro ne @@do @@stat @@ek pro @@voz @@n @@ího kapitál @@u s @@e o @@pak @@ova @@n @@ě pře @@ruš @@ova @@l @@a vý @@rob @@a a ob @@jev @@ova @@l @@y s @@e i ú @@vah @@y o bank @@rot @@u t @@é @@to firm @@y s vy @@nik @@aj @@í @@c @@í trad @@ic @@í .
Připravili Miroslav Kaňa a Jaroslav Winter	Při @@prav @@i @@l @@i Miroslav Kaň @@a a Jaroslav Winter
Profit tenkrát v čísle 18 / 1993 ještě před oficiálním nástupem Američanů referoval v článku Tatrovácký model : Kapitál český , manažeři zahraniční podrobně o tom , jak vznikl kontrakt se společností GSR , do níž se Američané sdružili .	Pro @@fit t @@en @@krát v čísl @@e 18 / 1993 ještě před ofici @@ál @@n @@ím ná @@stup @@em Američ @@an @@ů re @@fer @@ova @@l v člán @@k @@u Tatr @@ovác @@k @@ý model : Kapitál čes @@k @@ý , manaž @@eř @@i za @@hran @@ič @@n @@í po @@drob @@n @@ě o t @@o @@m , jak vz @@nik @@l kontrakt s @@e spol @@eč @@n @@ost @@í G @@S @@R , do níž s @@e Američ @@an @@é s @@druž @@i @@l @@i .
Přiblížil také jejich profesionální minulost .	Při @@blíž @@i @@l také je @@j @@i @@ch pro @@fes @@ion @@ál @@n @@í mi @@nu @@l @@ost .
Zejména Gerald Greenwald získal světovou proslulost během svého působení v nejužším vedení americké automobilky Chrysler , kterou s Lee Iacoccou pomáhal vyvést z hluboké krize .	Ze @@jmén @@a Gerald Green @@wald získ @@a @@l svět @@ov @@ou pro @@slu @@l @@ost běh @@em s @@v @@é @@ho pů @@sob @@en @@í v nej @@už @@š @@ím ved @@en @@í americ @@k @@é auto @@mobil @@k @@y Chrysler , kter @@ou s Lee Iacocc @@ou po @@máh @@a @@l vy @@vés @@t z hlub @@ok @@é kriz @@e .
Zveřejnili jsme také úkoly , které američtí manažeři pokládají pro nejbližší období za prioritní .	Z @@veřej @@n @@i @@l @@i js @@me také ú @@kol @@y , kter @@é američ @@t @@í manaž @@eř @@i po @@klád @@aj @@í pro nej @@bliž @@š @@í ob @@dob @@í za prior @@it @@n @@í .
A protože už uplynula doba , po níž lze očekávat první výsledky působení nového tatrováckého vedení , rozhovor s nynějším předsedou představenstva a generálním ředitelem Tatry Kopřivnice Geraldem Greenwaldem ( na snímku ) jsme začali otázkou vztahující se k prvnímu úkolu :	A pro @@t @@o @@že už u @@ply @@nu @@l @@a dob @@a , po níž lze o @@ček @@á @@v @@a @@t prv @@n @@í vý @@sled @@k @@y pů @@sob @@en @@í nov @@é @@ho tatr @@ovác @@k @@ého ved @@en @@í , roz @@hovor s nyn @@ějš @@ím před @@sed @@ou před @@stav @@en @@stv @@a a generál @@n @@ím řed @@i @@tel @@em Tatr @@y Kopřiv @@nic @@e Gerald @@em Green @@wald @@em ( na s @@ním @@k @@u ) js @@me za @@č @@a @@l @@i o @@táz @@k @@ou vz @@tah @@uj @@í @@c @@í s @@e k prv @@n @@í @@mu úkol @@u :
* Jak jste byli úspěšní při jednáních s bankami o zastavení plateb běžných úroků a změně termínů splatnosti existujícího dluhu ?	* Jak js @@te by @@l @@i ú @@spěš @@n @@í při jedn @@á @@n @@ích s bank @@ami o za @@stav @@en @@í plat @@eb běž @@n @@ých ú @@rok @@ů a z @@měn @@ě termín @@ů s @@plat @@n @@ost @@i exist @@uj @@í @@c @@í @@ho dluh @@u ?
Podařilo se nám restrukturalizovat bankovní dluh .	Po @@dař @@i @@l @@o s @@e n @@á @@m re @@strukt @@ur @@al @@iz @@ova @@t bank @@ovn @@í dluh .
Změnily se podmínky splácení dluhu a také jsme získali nové finanční prostředky .	Z @@měn @@i @@l @@y s @@e pod @@mín @@k @@y s @@plác @@ení dluh @@u a také js @@me získ @@a @@l @@i nov @@é finanč @@n @@í pro @@střed @@k @@y .
* Trvalo to však déle , než jste původně očekávali .	* Trv @@a @@l @@o t @@o však dél @@e , než js @@te pů @@vod @@n @@ě o @@ček @@á @@v @@a @@l @@i .
Ano , dohody byly podepsány a nové peníze přišly až na konci srpna , na začátku září .	Ano , do @@hod @@y by @@l @@y pode @@ps @@á @@n @@y a nov @@é peníz @@e při @@š @@l @@y až na konc @@i srp @@n @@a , na za @@čá @@t @@k @@u zář @@í .
Myslím , že to trvalo déle proto , že to byl první případ svého druhu pro naše finanční experty v Tatře a rovněž pro mnoho lidí , s nimiž jsme pracovali v jednotlivých bankách .	Mysl @@í @@m , že t @@o trv @@a @@l @@o dél @@e pro @@t @@o , že t @@o by @@l prv @@n @@í pří @@pad s @@v @@é @@ho druh @@u pro n @@a @@š @@e finanč @@n @@í expert @@y v Tatř @@e a rovněž pro mnoh @@o lid @@í , s n @@imi @@ž js @@me prac @@ova @@l @@i v jedn @@ot @@l @@iv @@ý @@ch bank @@ách .
Vyžádalo si to jim vyložit procedury , které se v těchto případech běžně používají .	Vy @@žád @@a @@l @@o s @@i t @@o j @@i @@m vy @@lož @@i @@t proced @@ur @@y , kter @@é s @@e v t @@ě @@ch @@t @@o pří @@pad @@e @@ch běž @@ně pou @@ží @@v @@aj @@í .
* Zatím jste získali nové úvěry pouze od tuzemských bank , nikoliv od zahraničních .	* Za @@t @@ím js @@te získ @@a @@l @@i nov @@é ú @@věr @@y pouz @@e od tu @@zem @@sk @@ých bank , ni @@koliv od za @@hran @@ič @@n @@í @@ch .
Je to záměr , anebo zahraniční banky nebyly ochotny je poskytnout ?	Je t @@o zá @@měr , a @@nebo za @@hran @@ič @@n @@í bank @@y ne @@by @@l @@y ochot @@n @@y je po @@skyt @@nou @@t ?
Zahraniční banky nebyly dosud zapojeny ze dvou důvodů .	Za @@hran @@ič @@n @@í bank @@y ne @@by @@l @@y do @@s @@ud za @@poj @@en @@y ze dv @@ou dů @@vod @@ů .
První spočívá v tom , že nebylo dost času seznámit je s provozem Tatry .	Prv @@n @@í s @@po @@čí @@v @@á v t @@o @@m , že ne @@by @@l @@o dost čas @@u se @@znám @@i @@t je s pro @@voz @@em Tatr @@y .
Druhým důvodem je naše přesvědčení , že výkon podniku , především cash flow se musí zlepšit , a teprve potom bude celá věc zajímavá pro zahraniční banky .	Druh @@ý @@m dů @@vod @@em je n @@a @@š @@e pře @@s @@věd @@č @@en @@í , že vý @@kon pod @@nik @@u , přede @@vš @@í @@m cash flow s @@e mus @@í z @@lep @@š @@i @@t , a teprv @@e po @@t @@o @@m bud @@e cel @@á věc za @@jím @@a @@v @@á pro za @@hran @@ič @@n @@í bank @@y .
Výjimkou jsou exportní úvěry .	Vý @@jim @@k @@ou js @@ou ex @@port @@n @@í ú @@věr @@y .
Zahraniční banky jsou zde již zainteresovány , mají zájem poskytovat financování .	Za @@hran @@ič @@n @@í bank @@y js @@ou zd @@e již za @@interes @@ová @@n @@y , m @@aj @@í zá @@jem po @@skyt @@ova @@t financ @@ová @@n @@í .
Nyní už s některými jednáme .	Nyn @@í už s ně @@kter @@ými jedn @@á @@me .
Připravujeme několikaletý business plán pro Tatru , který bude použit i při těchto jednáních .	Při @@prav @@uje @@me ně @@kolik @@a @@let @@ý business plán pro Tatr @@u , kter @@ý bud @@e po @@u @@ži @@t i při t @@ě @@ch @@t @@o jedn @@á @@n @@ích .
* Jako další úkol jste si stanovili revizi úrovně zaměstnanosti , organizačních zásad a motivačních programů .	* Jako dal @@š @@í ú @@kol js @@te s @@i stanov @@i @@l @@i re @@viz @@i ú @@rovn @@ě za @@měst @@n @@an @@ost @@i , organ @@iz @@ač @@n @@ích zá @@sad a motiv @@ač @@n @@ích program @@ů .
Víme , že počet zaměstnanců se snížil .	V @@í @@me , že po @@čet za @@měst @@n @@a @@n @@c @@ů s @@e s @@níž @@i @@l .
Jak je to s ostatním ?	Jak je t @@o s o @@stat @@n @@í @@m ?
Když jsme nastoupili , bylo v Tatře více než 11000 zaměstnanců .	Když js @@me na @@stoup @@i @@l @@i , by @@l @@o v Tatř @@e více než 11000 za @@měst @@n @@a @@n @@c @@ů .
Do poloviny tohoto roku budeme mít přibližně 8000 zaměstnanců .	Do pol @@ovin @@y t @@o @@ho @@t @@o rok @@u bud @@e @@me m @@í @@t při @@bliž @@n @@ě 8000 za @@měst @@n @@a @@n @@c @@ů .
* To je konečný stav ?	* T @@o je koneč @@n @@ý stav ?
Nikdy nic není definitivní .	Ni @@kd @@y nic není de @@fin @@it @@iv @@n @@í .
My všichni , všech 8000 lidí , jsme závislí na tom , jak úspěšně budeme prodávat nákladní automobily zákazníkům .	M @@y vš @@ich @@ni , vš @@e @@ch 8000 lid @@í , js @@me zá @@vis @@l @@í na t @@o @@m , jak ú @@spěš @@n @@ě bud @@e @@me pro @@d @@á @@v @@a @@t ná @@klad @@n @@í auto @@mobil @@y zá @@kaz @@ník @@ům .
Jestli budeme prodávat více , může se zvýšit i zaměstnanost .	Jest @@li bud @@e @@me pro @@d @@á @@v @@a @@t více , můž @@e s @@e z @@výš @@i @@t i za @@měst @@n @@a @@n @@ost .
Budeme - li prodávat méně , bude nutné přistoupit k dalšímu snižování zaměstnanosti .	Bud @@e @@me - li pro @@d @@á @@v @@a @@t mén @@ě , bud @@e nut @@n @@é při @@stoup @@i @@t k dal @@š @@ímu s @@niž @@ová @@n @@í za @@měst @@n @@an @@ost @@i .
Já doufám , že se nám podaří zvýšit prodej .	Já douf @@á @@m , že s @@e n @@á @@m po @@dař @@í z @@výš @@i @@t pro @@d @@e @@j .
Ale záruky nemám žádné .	Ale zá @@ruk @@y ne @@m @@á @@m žád @@n @@é .
* Podle jakých kritérií jste propouštěli zaměstnance ?	* Po @@dle jak @@ý @@ch krit @@éri @@í js @@te pro @@poušt @@ě @@l @@i za @@měst @@n @@an @@c @@e ?
Vycházeli jsme z cíle mít takový počet zaměstnanců , který potřebujeme k zabezpečení výroby , na niž je zajištěn prodej .	Vy @@cház @@e @@l @@i js @@me z cíl @@e m @@í @@t tak @@ov @@ý po @@čet za @@měst @@n @@a @@n @@c @@ů , kter @@ý po @@třeb @@uje @@me k za @@bezpeč @@en @@í vý @@rob @@y , na n @@i @@ž je za @@jišt @@ěn pro @@d @@e @@j .
Snažili jsme se přitom udržet si nejlepší lidi , zachovat speciální technické schopnosti podniku a postupovat vyváženě , aby žádná skupina nebyla znevýhodněna .	Snaž @@i @@l @@i js @@me s @@e při @@t @@o @@m u @@drž @@e @@t s @@i nej @@lep @@š @@í lid @@i , za @@chov @@a @@t spec @@iál @@n @@í techn @@ic @@k @@é s @@chop @@n @@ost @@i pod @@nik @@u a po @@stup @@ova @@t vy @@váž @@en @@ě , aby žád @@n @@á skup @@in @@a ne @@by @@l @@a z @@ne @@vý @@hod @@n @@ěn @@a .
* Zvýšili jste dost podstatně cenu nákladní tatry .	* Z @@výš @@i @@l @@i js @@te dost pod @@stat @@n @@ě cen @@u ná @@klad @@n @@í tatr @@y .
Měli jste k tomu kromě zvýšení příjmů ještě další důvody ?	Mě @@l @@i js @@te k t @@o @@mu krom @@ě z @@výš @@en @@í pří @@jm @@ů ještě dal @@š @@í dů @@vod @@y ?
Náš cíl při stanovování cen vozů je dávat cenu nižší , než západní konkurence , ale zároveň dosahovat dostatečných ziskových marží .	N @@á @@š cíl při stanov @@ová @@n @@í cen voz @@ů je d @@á @@v @@a @@t cen @@u niž @@š @@í , než zá @@pad @@n @@í kon @@kur @@enc @@e , ale zá @@roveň do @@sah @@ova @@t do @@stat @@eč @@n @@ých zisk @@ov @@ých marž @@í .
Také jsme změnili strukturu naší cenové tvorby , abychom se vyhnuli šedému trhu .	Také js @@me z @@měn @@i @@l @@i strukt @@ur @@u n @@a @@š @@í cen @@ov @@é tvor @@b @@y , a @@by @@chom s @@e vy @@h @@nu @@l @@i šed @@ému trh @@u .
Chceme mít obchodní vztahy na všech světových trzích a pracovat tam s nezávislými podnikateli , kteří budou působit jako naši distributoři .	Chc @@e @@me m @@í @@t ob @@chod @@n @@í vz @@tah @@y na vš @@e @@ch svět @@ov @@ých trz @@ích a prac @@ova @@t tam s ne @@zá @@vis @@l @@ými pod @@nik @@a @@tel @@i , kteř @@í bud @@ou pů @@sob @@i @@t jako n @@a @@š @@i dis @@tribu @@t @@oř @@i .
Nemůžeme proto dovolit , aby se nákladní vozidla prodávala na určitém trhu za účelem reexportu na další trh , který bude patřit jinému distributorovi .	Ne @@můž @@e @@me pro @@t @@o do @@vol @@i @@t , aby s @@e ná @@klad @@n @@í voz @@i @@dl @@a pro @@d @@á @@v @@a @@l @@a na urč @@it @@é @@m trh @@u za ú @@čel @@e @@m re @@ex @@port @@u na dal @@š @@í trh , kter @@ý bud @@e patř @@i @@t jin @@é @@mu dis @@tribu @@t @@or @@ovi .
Zjistili jsme například , že mnoho vozů , možná většina , které byly prodány v České republice a na Slovensku , bylo reexportováno .	Z @@jist @@i @@l @@i js @@me na @@pří @@klad , že mnoh @@o voz @@ů , mož @@ná vět @@š @@in @@a , kter @@é by @@l @@y pro @@d @@á @@n @@y v Čes @@k @@é republic @@e a na Slov @@en @@sk @@u , by @@l @@o re @@ex @@port @@ová @@n @@o .
Tím , že jsme sjednotili cenovou politiku , vyhnuli jsme se tomuto problému .	T @@ím , že js @@me s @@jedn @@ot @@i @@l @@i cen @@ov @@ou polit @@i @@k @@u , vy @@h @@nu @@l @@i js @@me s @@e t @@o @@mu @@t @@o problém @@u .
* Bylo jedním z důvodů zvýšení ceny také zlepšení kvality vozidel ?	* By @@l @@o jedn @@í @@m z dů @@vod @@ů z @@výš @@en @@í cen @@y také z @@lep @@š @@en @@í kval @@it @@y voz @@i @@del ?
Výběrově jsme vyhledali určité komponenty na vozidle , které nakupujeme na Západě .	Vý @@běr @@ov @@ě js @@me vy @@hled @@a @@l @@i urč @@it @@é kom @@pon @@ent @@y na voz @@i @@dl @@e , kter @@é na @@kup @@uje @@me na Zá @@pad @@ě .
Stojí to více , ale cílem je zlepšit kvalitu našich výrobků a jejich přitažlivost na Západě .	St @@oj @@í t @@o více , ale cíl @@e @@m je z @@lep @@š @@i @@t kval @@it @@u n @@a @@š @@i @@ch vý @@rob @@k @@ů a je @@j @@i @@ch při @@taž @@liv @@ost na Zá @@pad @@ě .
Kvůli tomu jsme také zvyšovali cenu , ale bylo to jen ve vybraných případech .	Kvůli t @@o @@mu js @@me také z @@vyš @@ova @@l @@i cen @@u , ale by @@l @@o t @@o jen ve vy @@br @@a @@n @@ých pří @@pad @@e @@ch .
Jinak chceme spolupracovat především s českými a slovenskými dodavateli , a to tak , abychom jim pomohli zlepšit kvalitu součástí , které dodávají .	Jin @@ak chc @@e @@me spolu @@prac @@ova @@t přede @@vš @@í @@m s čes @@k @@ými a slov @@en @@sk @@ými do @@d @@a @@v @@a @@tel @@i , a t @@o tak , a @@by @@chom j @@i @@m po @@moh @@l @@i z @@lep @@š @@i @@t kval @@it @@u sou @@část @@í , kter @@é do @@d @@á @@v @@aj @@í .
* Když Volkswagen přišel do Škody , provedl rychle řadu opatření , která kvalitu škodovek zlepšila .	* Když Volk @@s @@wagen při @@še @@l do Škod @@y , pro @@ved @@l rychl @@e řad @@u o @@patř @@en @@í , kter @@á kval @@it @@u škod @@ovek z @@lep @@š @@i @@l @@a .
Šlo hlavně o kvalitu dílenského zpracování .	Š @@l @@o hlav @@n @@ě o kval @@it @@u díl @@en @@sk @@ého z @@prac @@ová @@n @@í .
Jak je to u vás ?	Jak je t @@o u v @@á @@s ?
I my jsme měli užitek z práce , kterou Volkswagen v České republice a Slovenské republice vykonal .	I m @@y js @@me mě @@l @@i u @@ži @@tek z prác @@e , kter @@ou Volk @@s @@wagen v Čes @@k @@é republic @@e a Slov @@en @@sk @@é republic @@e vy @@kon @@a @@l .
Kupujeme součásti od mnoha stejných dodavatelů .	Kup @@uje @@me sou @@část @@i od mnoh @@a stejn @@ých do @@d @@a @@v @@a @@tel @@ů .
Kromě toho jsme začali vlastní programy ke zlepšení kvality v našich provozech a také jsme zahájili práci s našimi subdodavateli .	Krom @@ě t @@o @@ho js @@me za @@č @@a @@l @@i vlast @@n @@í program @@y ke z @@lep @@š @@en @@í kval @@it @@y v n @@a @@š @@i @@ch pro @@voz @@ech a také js @@me za @@háj @@i @@l @@i prác @@i s n @@a @@š @@i @@m @@i sub @@do @@d @@a @@v @@a @@tel @@i .
Kvalita našeho nákladního vozidla je dobrá , ale není perfektní .	Kval @@it @@a n @@a @@š @@e @@ho ná @@klad @@n @@ího voz @@i @@dl @@a je dobr @@á , ale není per @@fekt @@n @@í .
Nyní jsme začali komplexní program , abychom identifikovali zbývající nedostatky v oblasti kvality a systematicky pracovali na jejich odstranění v našem vlastním provozu .	Nyn @@í js @@me za @@č @@a @@l @@i kom @@plex @@n @@í pro @@gram , a @@by @@chom identi @@fik @@ova @@l @@i z @@bý @@v @@aj @@íc @@í ne @@do @@stat @@k @@y v ob @@last @@i kval @@it @@y a system @@at @@ic @@k @@y prac @@ova @@l @@i na je @@j @@i @@ch od @@stran @@ěn @@í v n @@a @@š @@e @@m vlast @@n @@í @@m pro @@voz @@u .
* Mezi kritéria kvality patří životnost .	* Mezi krit @@éri @@a kval @@it @@y patř @@í ži @@v @@ot @@n @@ost .
Za problém tater se považuje to , že životnost jednotlivých částí není ani vyrovnaná , ani optimalizovaná .	Za problém tater s @@e po @@važ @@uje t @@o , že ži @@v @@ot @@n @@ost jedn @@ot @@l @@iv @@ý @@ch část @@í není ani vy @@rovn @@a @@n @@á , ani optim @@al @@iz @@ova @@n @@á .
To přetrvává ?	T @@o pře @@trv @@á @@v @@á ?
Uvedu osobní zkušenost z jednání se zákazníky z několika západních zemí .	U @@ved @@u osob @@n @@í z @@kuš @@en @@ost z jedn @@á @@n @@í s @@e zá @@kaz @@ník @@y z ně @@kolik @@a zá @@pad @@n @@ích zem @@í .
Říkali , že koupili Tatry vozidla od jiných výrobců a ta jsou kvalitnější .	Řík @@a @@l @@i , že koup @@i @@l @@i Tatr @@y voz @@i @@dl @@a od jin @@ý @@ch vý @@rob @@c @@ů a t @@a js @@ou kval @@it @@n @@ějš @@í .
Zeptal jsem se , zda je používají ve stejných podmínkách .	Ze @@pt @@a @@l js @@em s @@e , zda je pou @@ží @@v @@aj @@í ve stejn @@ých pod @@mín @@k @@ách .
Odpověděli , že ne .	Od @@po @@věd @@ě @@l @@i , že ne .
Protože za západní zaplatili více , používají je na lehčí práce .	Pro @@t @@o @@že za zá @@pad @@n @@í za @@plat @@i @@l @@i více , pou @@ží @@v @@aj @@í je na leh @@č @@í prác @@e .
A také o ně více pečují .	A také o n @@ě více peč @@uj @@í .
