abbé	abb @@é
grófinka	grófin @@k @@a
gsr	g @@s @@r
guerille	guerill @@e
guma	gum @@a
gumou	gum @@ou
gurkhský	gurkh @@sk @@ý
gustem	gust @@em
gypsovku	gyps @@ov @@k @@u
géniích	gén @@i @@ích
góluchtivost	gól @@u @@cht @@iv @@ost
ha	ha
habilitovat	habilit @@ova @@t
habrmanova	habr @@man @@ov @@a
had	had
hada	had @@a
hadovi	had @@ovi
hadr	hadr
hadrlumpe	hadr @@lump @@e
hadrník	hadr @@ník
hadry	hadr @@y
hadráře	hadr @@ář @@e
haf	haf
hafající	haf @@aj @@íc @@í
hafat	haf @@a @@t
hafhaf	haf @@haf
hafáček	haf @@áč @@ek
haha	ha @@ha
hajat	haj @@a @@t
hajdy	hajdy
hajnout	haj @@nou @@t
hala	hal @@a
halamo	halam @@o
halas	halas
halasit	halas @@i @@t
halekat	halek @@a @@t
halina	halina
halit	hal @@i @@t
hall	hall
halla	hall @@a
halle	hall @@e
hallovi	hall @@ovi
halt	halt
halévy	halév @@y
haléřů	haléř @@ů
halíře	halíř @@e
halířů	halíř @@ů
hamadan	hamadan
hamat	ham @@a @@t
hamburgrářsky	ham @@burgr @@ář @@sk @@y
hamiltonovy	hamilton @@ov @@y
hamižník	hamiž @@n @@ík
hamonit	hamon @@i @@t
hamounit	hamoun @@i @@t
hampl	hampl
hamsuna	hamsun @@a
hana	han @@a
hanba	han @@b @@a
hanbit	han @@b @@i @@t
handicapovat	handicap @@ova @@t
handlovat	handl @@ova @@t
handrkovat	handrk @@ova @@t
handwerk	hand @@werk
hanebníku	han @@eb @@n @@ík @@u
hanit	han @@i @@t
hanobit	han @@ob @@i @@t
hantýruje	hantýr @@uje
hanácký	han @@ác @@k @@ý
hanět	han @@ě @@t
hapat	hap @@a @@t
haraburdí	haraburd @@í
harant	harant
haranta	harant @@a
harašit	haraš @@i @@t
harcovat	harc @@ova @@t
hardyho	hardy @@ho
harf	harf
harfu	harf @@u
harfy	harf @@y
harmonický	harmon @@ic @@k @@ý
harmonie	harmon @@i @@e
harmonii	harmon @@i @@i
harmonizovat	harmon @@iz @@ova @@t
harmonovat	harmon @@ova @@t
harper	harper
harpuna	harpun @@a
harpunovat	harpun @@ova @@t
harvard	harvard
hasiči	has @@i @@č @@i
hasičský	has @@i @@č @@sk @@ý
hasičstva	has @@ič @@stv @@a
hasičů	has @@i @@č @@ů
hasnout	has @@nou @@t
hasáku	hasák @@u
hasí	has @@í
hatit	hat @@i @@t
hatlat	hatl @@a @@t
havran	havran
havrana	havran @@a
havrani	havran @@i
hazard	hazard
hazardní	hazard @@n @@í
hazardovat	hazard @@ova @@t
hačat	hač @@a @@t
hačnout	hač @@nou @@t
hašením	haš @@en @@ím
hašteřily	hašteř @@i @@l @@y
hašteřit	hašteř @@i @@t
health	health
hebounké	heb @@oun @@k @@é
hecovat	hec @@ova @@t
hedvábné	hedváb @@n @@é
hedvábnými	hedváb @@n @@ými
hedvábí	hedváb @@í
heem	heem
hefler	hefler
hegelovského	hegel @@ov @@sk @@ého
heidelberská	heidelber @@sk @@á
heidelberském	heidelber @@sk @@ém
heim	heim
hej	hej
hejbaly	hejb @@a @@l @@y
hejkat	hejk @@a @@t
hejkavec	hejkavec
hejtman	hejtman
hejtmanovi	hejtman @@ovi
hejtmanství	hejtman @@stv @@í
hekat	hek @@a @@t
hektografovat	hekto @@graf @@ova @@t
hektometrovník	hekto @@metr @@ov @@ník
hele	hele
helejme	helej @@me
heleme	hele @@me
heleno	helen @@o
helma	helm @@a
hem	hem
hematit	hemat @@it
hemžilo	hemž @@i @@l @@o
hemžit	hemž @@i @@t
herbst	herbst
herec	her @@ec
hereckou	her @@ec @@k @@ou
herečka	her @@eč @@k @@a
herečku	her @@eč @@k @@u
hergot	her @@got
herní	her @@n @@í
heroickou	hero @@ic @@k @@ou
heroický	hero @@ic @@k @@ý
heroičtějšího	hero @@ič @@t @@ějš @@ího
heršpický	heršpic @@k @@ý
hesla	hesl @@a
heslech	hesl @@ech
heslem	hesl @@em
heslo	hesl @@o
hezky	hez @@k @@y
hezké	hez @@k @@é
hezkého	hez @@k @@ého
hezký	hez @@k @@ý
hezčí	hez @@č @@í
hečte	heč @@te
hidvegi	hidvegi
hifax	hi @@fax
hirsch	hirsch
hirsche	hirsch @@e
hirschem	hirsch @@em
hirschovi	hirsch @@ovi
hirschovou	hirsch @@ov @@ou
hirschová	hirsch @@ov @@á
hirschové	hirsch @@ov @@é
historii	histor @@i @@i
historií	histor @@i @@í
hitachi	hitachi
hladce	hlad @@c @@e
hladem	hlad @@em
hladil	hlad @@i @@l
hladila	hlad @@i @@l @@a
hladinách	hlad @@in @@ách
hladit	hlad @@i @@t
hladký	hlad @@k @@ý
hladový	hlad @@ov @@ý
hladovět	hlad @@ov @@ě @@t
hladu	hlad @@u
hladí	hlad @@í
hladčeji	hlad @@č @@eji
hlaholila	hlahol @@i @@l @@a
hlas	hlas
hlasem	hlas @@em
hlasitá	hlas @@it @@á
hlasité	hlas @@it @@é
hlasitě	hlas @@it @@ě
hlasitěji	hlas @@it @@ěji
hlasovat	hlas @@ova @@t
hlasu	hlas @@u
hlasům	hlas @@ům
hlava	hlav @@a
hlaveň	hlav @@eň
hlavičce	hlav @@ičc @@e
hlavička	hlav @@ičk @@a
hlavičky	hlav @@ičk @@y
hlavní	hlav @@n @@í
hlavních	hlav @@n @@ích
hlavního	hlav @@n @@ího
hlavním	hlav @@n @@í @@m
hlavními	hlav @@n @@ími
hlavně	hlav @@n @@ě
hlavou	hlav @@ou
hlavu	hlav @@u
hlavy	hlav @@y
hlavě	hlav @@ě
hle	hle
hledají	hled @@aj @@í
hledajíc	hled @@aj @@íc
hledal	hled @@a @@l
hledali	hled @@a @@l @@i
hledaly	hled @@a @@l @@y
hledaného	hled @@a @@n @@ého
hledaný	hled @@a @@n @@ý
hledat	hled @@a @@t
hledati	hled @@a @@ti
hledej	hled @@ej
hledejte	hled @@ej @@te
hledisek	hled @@isek
hlediska	hled @@isk @@a
hlediskem	hled @@isk @@em
hledisko	hled @@isk @@o
hledisku	hled @@isk @@u
hledá	hled @@á
hledám	hled @@á @@m
hledáme	hled @@á @@me
hledání	hled @@á @@n @@í
hledí	hled @@í
hledíme	hled @@í @@me
hleděl	hled @@ě @@l
hleděli	hled @@ě @@l @@i
hledělo	hled @@ě @@l @@o
hleděly	hled @@ě @@l @@y
hledět	hled @@ě @@t
hlesnout	hles @@nou @@t
hleď	hleď
hleďte	hleď @@te
hlodat	hlod @@a @@t
hloh	hloh
hloubat	hloub @@a @@t
hloubi	hloub @@i
hloubit	hloub @@i @@t
hlouběji	hloub @@ěji
hloupej	hloup @@ej
hloupnout	hloup @@nou @@t
hloupostí	hloup @@ost @@í
hloupou	hloup @@ou
hloupá	hloup @@á
hloupí	hloup @@í
hloupý	hloup @@ý
hlouček	hlouč @@ek
hltat	hlt @@a @@t
hlubiny	hlub @@in @@y
hluboce	hlub @@oc @@e
hluboko	hlub @@ok @@o
hluboká	hlub @@ok @@á
hluboké	hlub @@ok @@é
hlubokém	hlub @@ok @@ém
hlubokými	hlub @@ok @@ými
hluchnout	hluch @@nou @@t
hluchý	hluch @@ý
hluk	hluk
hlupáci	hlup @@ác @@i
hlupák	hlup @@ák
hlučet	hluč @@e @@t
hlučnej	hluč @@n @@ej
hlučíňan	hluč @@íň @@an
hlásat	hlás @@a @@t
hlásila	hlás @@i @@l @@a
hlásit	hlás @@i @@t
hláska	hlás @@k @@a
hláskem	hlás @@k @@em
hláskovat	hlás @@k @@ova @@t
hláskám	hlás @@k @@ám
hlásí	hlás @@í
hlásím	hlás @@í @@m
hlášeno	hláš @@en @@o
hlédnout	hléd @@nou @@t
hlídat	hlíd @@a @@t
hlídače	hlíd @@a @@č @@e
hlídačské	hlíd @@a @@č @@sk @@é
hlídkovat	hlíd @@k @@ova @@t
hlína	hlín @@a
hlísta	hlíst @@a
hm	hm
hmat	hmat
hmatal	hmat @@a @@l
hmatat	hmat @@a @@t
hmatám	hmat @@á @@m
hmot	hmot
hmota	hmot @@a
hmotnost	hmot @@n @@ost
hmotnému	hmot @@n @@ému
hmotný	hmot @@n @@ý
hmotu	hmot @@u
hmoty	hmot @@y
hmotě	hmot @@ě
hmoždit	hmožd @@i @@t
hmoždíř	hmožd @@íř
hmátnout	hmát @@nou @@t
hnali	hn @@a @@l @@i
hned	hned
hnedle	hned @@le
hniličkovatět	hni @@l @@ičk @@ov @@at @@ě @@t
hniloba	hni @@l @@ob @@a
hnisat	hnis @@a @@t
hnout	h @@nou @@t
hnul	h @@nu @@l
hnusit	hnus @@i @@t
hnusí	hnus @@í
hnutí	h @@nu @@t @@í
hnán	hn @@á @@n
hnát	hn @@á @@t
hnízda	hnízd @@a
hnízdech	hnízd @@ech
hnízdit	hnízd @@i @@t
hnízdo	hnízd @@o
hněda	hněd @@a
hnědnout	hněd @@nou @@t
hnědou	hněd @@ou
hnědozrzavě	hněd @@o @@zrz @@av @@ě
hnědí	hněd @@í
hnědý	hněd @@ý
hněteme	hnět @@e @@me
hnětl	hnět @@l
hněvat	hněv @@a @@t
hněvem	hněv @@em
hoblovat	hobl @@ova @@t
hoc	hoc
hochmana	hochman @@a
hoden	hod @@en
hodil	hod @@i @@l
hodilo	hod @@i @@l @@o
hodin	hodin
hodina	hodin @@a
hodinek	hodin @@ek
hodinkami	hodin @@k @@ami
hodinku	hodin @@k @@u
hodinky	hodin @@k @@y
hodinu	hodin @@u
hodině	hodin @@ě
hodlají	hodl @@aj @@í
hodlat	hodl @@a @@t
hodna	hod @@n @@a
hodnostní	hod @@n @@ost @@n @@í
hodnot	hod @@n @@ot
hodnota	hod @@n @@ot @@a
hodnotami	hod @@n @@ot @@ami
hodnotit	hod @@n @@ot @@i @@t
hodnotné	hod @@n @@ot @@n @@é
hodnotný	hod @@n @@ot @@n @@ý
hodnotně	hod @@n @@ot @@n @@ě
hodnotnější	hod @@n @@ot @@n @@ějš @@í
hodnoty	hod @@n @@ot @@y
hodnotách	hod @@n @@ot @@ách
hodnotám	hod @@n @@ot @@ám
hodnotíce	hod @@n @@ot @@íc @@e
hodnotící	hod @@n @@ot @@íc @@í
hodnotě	hod @@n @@ot @@ě
hodná	hod @@n @@á
hodného	hod @@n @@ého
hodný	hod @@n @@ý
hodně	hod @@n @@ě
hodovat	hod @@ova @@t
hodovati	hod @@ova @@ti
hodujícím	hod @@uj @@íc @@ím
hodí	hod @@í
hodím	hod @@í @@m
hodíte	hod @@í @@te
hofmann	hofmann
holan	holan
holandských	holand @@sk @@ých
holanďan	holanď @@an
holben	holben
holbene	holben @@e
holbenovi	holben @@ovi
holbenovy	holben @@ov @@y
holbenových	holben @@ov @@ých
holdovat	hold @@ova @@t
holenku	hol @@en @@k @@u
holeně	hol @@en @@ě
holeň	hol @@eň
holinky	hol @@in @@k @@y
holit	hol @@i @@t
holka	hol @@k @@a
holky	hol @@k @@y
holocaust	holocaust
holomek	holom @@ek
holota	hol @@ot @@a
holoto	hol @@ot @@o
holoubata	holoub @@at @@a
holoubě	holoub @@ě
holt	holt
holub	holub
holubi	holub @@i
holubička	holub @@ič @@k @@a
holá	hol @@á
holé	hol @@é
holí	hol @@í
holínek	hol @@ín @@ek
holým	hol @@ým
holýma	hol @@ýma
holčičce	hol @@č @@ič @@c @@e
holčička	hol @@č @@ičk @@a
holčičko	hol @@čič @@k @@o
holčičkou	hol @@č @@ičk @@ou
holčičku	hol @@č @@ičk @@u
holčičky	hol @@č @@ičk @@y
homicidiem	homi @@cidi @@em
hominismem	homin @@ism @@em
homolce	homol @@c @@e
homologována	homo @@log @@ová @@n @@a
honem	hon @@em
honil	hon @@i @@l
honit	hon @@i @@t
honičce	hon @@i @@čc @@e
honička	hon @@i @@čk @@a
honorací	honor @@ac @@í
honorované	honor @@ova @@n @@é
honorovat	honor @@ova @@t
honorován	honor @@ová @@n
honosit	honos @@i @@t
honositi	honos @@i @@ti
honosíme	honos @@í @@me
honí	hon @@í
honíme	hon @@í @@me
hooker	hooker
hopkat	hop @@k @@a @@t
hopkovat	hop @@k @@ova @@t
hopnout	hop @@nou @@t
hor	hor
horečce	hor @@eč @@c @@e
horečka	hor @@eč @@k @@a
horečky	hor @@eč @@k @@y
horizontální	horizont @@ál @@n @@í
horko	hor @@k @@o
horká	hor @@k @@á
horkém	hor @@k @@ém
horký	hor @@k @@ý
horkých	hor @@k @@ých
horlit	horl @@i @@t
horlivostí	hor @@l @@iv @@ost @@í
horlivěji	hor @@l @@i @@v @@ě @@ji
horny	horn @@y
horní	hor @@n @@í
horoucně	hor @@ou @@c @@n @@ě
horoucí	hor @@ou @@c @@í
horovat	hor @@ova @@t
horách	hor @@ách
horálek	horálek
horšit	hor @@š @@i @@t
horší	hor @@š @@í
hosana	hosana
hospoda	hospod @@a
hospodaření	hospod @@ař @@en @@í
hospodařit	hospod @@ař @@i @@t
hospodo	hospod @@o
hospodou	hospod @@ou
hospodského	hospod @@sk @@ého
hospodský	hospod @@sk @@ý
hospodu	hospod @@u
hospody	hospod @@y
hospodyni	hospod @@yn @@i
hospodyně	hospod @@yn @@ě
hospodách	hospod @@ách
hospodářovy	hospod @@ář @@ov @@y
hospodářské	hospod @@ář @@sk @@é
hospodářský	hospod @@ář @@sk @@ý
hospodářských	hospod @@ář @@sk @@ých
hospodářství	hospod @@ář @@ství
hospodě	hospod @@ě
host	host
hostince	host @@inc @@e
hostincem	host @@inc @@em
hostinec	host @@inec
hostinsky	host @@in @@sk @@y
hostit	host @@i @@t
hostovat	host @@ova @@t
hostovi	host @@ovi
hosty	host @@y
hotel	hotel
hotelnictví	hotel @@nic @@tv @@í
hotov	hotov
hotova	hotov @@a
hotovit	hotov @@i @@t
hotovo	hotov @@o
hotový	hotov @@ý
hotových	hotov @@ých
houba	houb @@a
houby	houb @@y
houkat	houk @@a @@t
houknout	houk @@nou @@t
houpal	houp @@a @@l
houpaly	houp @@a @@l @@y
houpat	houp @@a @@t
houpačce	houp @@a @@čc @@e
houpačka	houp @@a @@čk @@a
housku	hous @@k @@u
houslistický	housl @@ist @@ick @@ý
housliček	housl @@iček
houst	hous @@t
houstičku	hous @@t @@ičk @@u
houstnout	houst @@nou @@t
houštiny	houšt @@in @@y
houštinách	houšt @@in @@ách
houšť	houšť
houževnatá	houžev @@n @@at @@á
hovor	hovor
hovoru	hovor @@u
hovory	hovor @@y
hovořil	hovoř @@i @@l
hovořit	hovoř @@i @@t
hovořím	hovoř @@í @@m
hověla	hov @@ě @@l @@a
hovět	hov @@ě @@t
hovězin	hověz @@in
hoď	hoď
hořce	hoř @@c @@e
hořcově	hoř @@c @@ov @@ě
hořekovat	hoř @@ek @@ova @@t
hořela	hoř @@e @@l @@a
hořelo	hoř @@e @@l @@o
hořknout	hoř @@k @@nou @@t
hořkost	hořk @@ost
hořkosti	hořk @@ost @@i
hořké	hoř @@k @@é
hořák	hoř @@ák
hořčicí	hoř @@č @@ic @@í
hoši	hoš @@i
hrabal	hrab @@a @@l
hrabě	hrab @@ě
hrachu	hrach @@u
hradba	hrad @@b @@a
hradce	hradc @@e
hradci	hradc @@i
hradební	hrad @@eb @@n @@í
hradec	hrad @@ec
hradit	hrad @@i @@t
hradiště	hrad @@išt @@ě
hradí	hrad @@í
hradě	hrad @@ě
hrajete	hra @@j @@e @@te
hrají	hra @@j @@í
hranicemi	hran @@ic @@emi
hranici	hran @@ic @@i
hranicí	hran @@ic @@í
hranicích	hran @@ic @@ích
hranit	hran @@i @@t
hraničit	hran @@ič @@i @@t
hraná	hra @@n @@á
hraní	hran @@í
hraček	hra @@č @@ek
hrbatět	hrb @@at @@ě @@t
hrbit	hrb @@i @@t
hrbáčovu	hrb @@áč @@ov @@u
hrbáčův	hrb @@áč @@ův
hrbí	hrb @@í
hrda	hrd @@a
hrdi	hrd @@i
hrdinská	hrd @@in @@sk @@á
hrdinství	hrd @@in @@stv @@í
hrdinu	hrd @@in @@u
hrdle	hrdl @@e
hrdlo	hrdl @@o
hrdlovat	hrdl @@ova @@t
hrdostí	hrd @@ost @@í
hrdélku	hrdél @@k @@u
hrkat	hrk @@a @@t
hrkne	hrk @@ne
hrkotat	hrk @@ot @@a @@t
hrnou	hrn @@ou
hrnout	hr @@nou @@t
hrnuli	hr @@nu @@l @@i
hrnéček	hrnéč @@ek
hrnéčků	hrnéč @@k @@ů
hrníček	hrníč @@ek
hrníčku	hrníč @@k @@u
hrníčky	hrníč @@k @@y
hrníčků	hrníč @@k @@ů
hrobníkův	hrob @@ník @@ův
hrobě	hrob @@ě
hrom	hrom
hromada	hromad @@a
hromadit	hromad @@i @@t
hromadu	hromad @@u
hromady	hromad @@y
hromadách	hromad @@ách
hrome	hrom @@e
hromoval	hrom @@ova @@l
hromovat	hrom @@ova @@t
hromádka	hromád @@k @@a
hronov	hronov
hronova	hronov @@a
hronovského	hronov @@sk @@ého
hronovu	hronov @@u
hrotit	hrot @@i @@t
hroudovat	hroud @@ova @@t
hroutit	hrout @@i @@t
hrouzit	hrouz @@i @@t
hroužit	hrouž @@i @@t
hrozbou	hroz @@b @@ou
hrozila	hroz @@i @@l @@a
hrozit	hroz @@i @@t
hroznou	hrozn @@ou
hrozném	hroz @@n @@ém
hrozný	hroz @@n @@ý
hrozně	hroz @@n @@ě
hrrrr	hrrrr
hrst	hrst
hrstku	hrst @@k @@u
hrstě	hrst @@ě
hru	hr @@u
hrubec	hrub @@ec
hrubiáne	hrub @@i @@án @@e
hrubá	hrub @@á
hrubé	hrub @@é
hrubého	hrub @@ého
hrubému	hrub @@ému
hrubých	hrub @@ých
hrubým	hrub @@ým
hrudi	hrud @@i
hrudovat	hrud @@ova @@t
hrušek	hruš @@ek
hruška	hruš @@k @@a
hruškou	hruš @@k @@ou
hrušku	hruš @@k @@u
hrušky	hruš @@k @@y
hryznout	hryz @@nou @@t
hrábnout	hráb @@nou @@t
hrách	hrách
hrál	hrá @@l
hráli	hrá @@l @@i
hrály	hrá @@l @@y
hrát	hrá @@t
hrávání	hrá @@v @@á @@n @@í
hráč	hrá @@č
hráči	hrá @@č @@i
hrýzt	hrýz @@t
hrčkulákův	hrčk @@ulák @@ův
hrůza	hrůz @@a
hrůze	hrůz @@e
hrůzu	hrůz @@u
hrůzy	hrůz @@y
huba	hub @@a
hubatka	hub @@at @@k @@a
hubatou	hub @@at @@ou
hubenice	hub @@en @@ic @@e
hubený	hub @@en @@ý
hubenět	hub @@en @@ě @@t
huber	huber
hubit	hub @@i @@t
hubičkovací	hub @@ičk @@ova @@c @@í
hubičkovat	hub @@ičk @@ova @@t
hubičku	hub @@ičk @@u
hubnout	hub @@nou @@t
hubou	hub @@ou
hubovat	hub @@ova @@t
hubu	hub @@u
huby	hub @@y
hubě	hub @@ě
hudba	hud @@b @@a
hudbou	hud @@b @@ou
hudebními	hud @@eb @@n @@ími
hudlaři	hudl @@ař @@i
hudlařit	hudl @@ař @@i @@t
hudrovat	hudr @@ova @@t
huga	hug @@a
hugo	hug @@o
huhňat	huhň @@a @@t
hulit	hul @@i @@t
hulákat	hulák @@a @@t
humanism	human @@ism
humanismem	human @@ism @@em
humanismu	human @@ism @@u
humanistické	human @@ist @@ic @@k @@é
humbuk	humbuk
humeovi	hume @@ovi
humny	humn @@y
huncút	huncút
hunt	hunt
hup	hup
hupkat	hup @@k @@a @@t
hupkovat	hup @@k @@ova @@t
hupnout	hup @@nou @@t
hurtovat	hurt @@ova @@t
hustit	hust @@i @@t
hustá	hust @@á
husté	hust @@é
hustého	hust @@ého
hustý	hust @@ý
husu	hus @@u
husy	hus @@y
husím	hus @@í @@m
husími	hus @@ími
hutníková	hut @@ník @@ov @@á
hutný	hutn @@ý
hutnější	hutn @@ějš @@í
hučet	huč @@e @@t
hučí	huč @@í
huňaté	huň @@at @@é
huňatět	huň @@at @@ě @@t
hvízdat	hvízd @@a @@t
hvízdnout	hvízd @@nou @@t
hvězdami	hvězd @@ami
hvězdiček	hvězd @@iček
hvězdička	hvězd @@ičk @@a
hvězdičky	hvězd @@ičk @@y
hvězdopravci	hvězd @@o @@prav @@c @@i
hvězdopravec	hvězd @@o @@prav @@ec
hvězdu	hvězd @@u
hvězdy	hvězd @@y
hvězdám	hvězd @@ám
hvězdář	hvězd @@ář
hvězdáře	hvězd @@ář @@e
hybernské	hybern @@sk @@é
hybridizující	hybrid @@iz @@uj @@íc @@í
hybris	hybris
hygienickým	hygien @@ic @@k @@ým
hygienu	hygien @@u
hygijenickým	hygijen @@ic @@k @@ým
hyjé	hyjé
hylé	hylé
hynout	hy @@nou @@t
hypochondrie	hypo @@chondr @@i @@e
hypotéza	hypo @@téz @@a
hysterku	hyster @@k @@u
hyzdit	hyzd @@i @@t
há	há
hádal	hád @@a @@l
hádaly	hád @@a @@l @@y
hádat	hád @@a @@t
hádám	hád @@á @@m
hádání	hád @@á @@n @@í
hájil	háj @@i @@l
hájit	háj @@i @@t
hákovat	hák @@ova @@t
hárat	hár @@a @@t
házet	ház @@e @@t
házíš	ház @@í @@š
háček	háč @@ek
háčkem	háč @@k @@em
háčkovat	háč @@k @@ova @@t
hú	hú
hýbat	hýb @@a @@t
hýbání	hýb @@á @@n @@í
hýkat	hýk @@a @@t
hýknout	hýk @@nou @@t
hýčkat	hýč @@k @@a @@t
hýřilův	hýř @@i @@l @@ův
hýřit	hýř @@i @@t
hřadovat	hřad @@ova @@t
hřbetě	hřbet @@ě
hřbitov	hřbitov
hřbitově	hřbitov @@ě
hře	hř @@e
hřebec	hřeb @@ec
hřebelcovat	hřeb @@el @@c @@ova @@t
hřebit	hřeb @@i @@t
hřebík	hřeb @@ík
hřeje	hře @@je
hřešil	hřeš @@i @@l
hřešit	hřeš @@i @@t
hřmotit	hřm @@ot @@i @@t
hřmí	hřm @@í
hřmít	hřm @@í @@t
hřmět	hřm @@ě @@t
hřál	hřá @@l
hřála	hřá @@l @@a
hřát	hřá @@t
hřích	hřích
hříchy	hřích @@y
hříchů	hřích @@ů
hřímal	hřím @@a @@l
hřímat	hřím @@a @@t
hřímá	hřím @@á
hříšnou	hříš @@n @@ou
hříšník	hříš @@n @@ík
hřížit	hříž @@i @@t
hůl	hůl
hůra	hůr @@a
iacoccou	iacocc @@ou
idea	ide @@a
idealismem	ideal @@ism @@em
idealismu	ideal @@ism @@u
idealismus	ideal @@ism @@us
idealistickou	ideal @@ist @@ic @@k @@ou
idealistické	ideal @@ist @@ic @@k @@é
idealistický	ideal @@ist @@ic @@k @@ý
idealistických	ideal @@ist @@ic @@k @@ých
idealistickým	ideal @@ist @@ic @@k @@ým
idealistů	ideal @@ist @@ů
idealizovat	ideal @@iz @@ova @@t
idealizující	ideal @@iz @@uj @@íc @@í
ideje	idej @@e
idejí	idej @@í
identifikaci	identi @@fik @@ac @@i
identifikovali	identi @@fik @@ova @@l @@i
identifikovat	identi @@fik @@ova @@t
ideál	ideál
ideálno	ideál @@n @@o
ideální	ideál @@n @@í
ideálních	ideál @@n @@ích
ideálního	ideál @@n @@ího
ideálu	ideál @@u
ideály	ideál @@y
ignorovávací	ignor @@ová @@v @@a @@c @@í
ihm	i @@h @@m
ilc	ilc
ilegálních	i @@leg @@ál @@n @@ích
iluminovat	ilumin @@ova @@t
ilustrovaný	ilustr @@ov @@an @@ý
ilustrovat	i @@lustr @@ova @@t
iluze	iluz @@e
iluzorní	iluz @@orn @@í
iluzí	iluz @@í
image	image
imaginativním	imagin @@at @@iv @@n @@í @@m
imatrikulovat	i @@matrik @@ul @@ova @@t
imega	imeg @@a
imigrovat	i @@migr @@ova @@t
imitovat	imit @@ova @@t
imobilizovat	i @@mobil @@iz @@ova @@t
implikovat	im @@plik @@ova @@t
imponovat	im @@pon @@ova @@t
import	im @@port
importovat	im @@port @@ova @@t
impregnovat	im @@pregn @@ova @@t
improvizovat	im @@prov @@iz @@ova @@t
impulsy	im @@puls @@y
impulz	im @@pulz
imputovat	imput @@ova @@t
imunizovat	imun @@iz @@ova @@t
imunní	imun @@n @@í
imunoenzymatický	imun @@o @@enzym @@at @@ick @@ý
in	in
inconsistent	in @@consist @@ent
index	index
indickou	ind @@ic @@k @@ou
indické	ind @@ic @@k @@é
indie	ind @@i @@e
individualita	in @@divid @@u @@al @@it @@a
individuálních	in @@divid @@u @@ál @@n @@ích
individuálního	in @@divid @@u @@ál @@n @@ího
indiáni	indián @@i
indiánům	indi @@án @@ům
indosovat	indos @@ova @@t
indukovat	induk @@ova @@t
infikovat	infik @@ova @@t
infiltrovat	in @@filtr @@ova @@t
inflaci	in @@flac @@i
informace	in @@form @@ac @@e
informaci	in @@form @@ac @@i
informací	in @@form @@ac @@í
informační	in @@form @@ač @@n @@í
informačních	in @@form @@ač @@n @@ích
infra	infra
ing	ing
inhalovat	in @@hal @@ova @@t
inherovat	inher @@ova @@t
inhorgenta	inhorgent @@a
iniciativy	inici @@at @@iv @@y
iniciování	inici @@ová @@n @@í
iniciují	inici @@uj @@í
iniciátora	inici @@át @@or @@a
injekcemi	in @@jek @@c @@emi
injikovat	injik @@ova @@t
ink	ink
inkasovat	in @@kas @@ova @@t
inklinovat	in @@klin @@ova @@t
inkontinentní	in @@kontinent @@n @@í
inkorporovat	in @@korpor @@ova @@t
inkoustem	inkoust @@em
inkriminovat	in @@krimin @@ova @@t
inkunábulí	in @@kunábul @@í
inovace	inov @@ace
inpro	inpro
insanity	insanity
inscenovat	in @@scen @@ova @@t
inspektory	in @@spek @@t @@or @@y
inspicírovat	in @@spic @@ír @@ova @@t
inspirovat	in @@spir @@ova @@t
instalace	in @@stal @@ac @@e
instalatérem	instal @@at @@ér @@em
instalovat	instal @@ova @@t
instance	in @@stanc @@e
instinktů	in @@stinkt @@ů
instituce	in @@stitu @@c @@e
institut	in @@stitu @@t
institutu	in @@stitu @@t @@u
instrumentovat	instrument @@ova @@t
instrumenty	instru @@ment @@y
instrumentální	instru @@ment @@ál @@n @@í
instrumentů	instru @@ment @@ů
instruovat	in @@stru @@ova @@t
integrovaným	integr @@ova @@n @@ým
integrovat	integr @@ova @@t
integruje	integr @@uje
intelekt	intelekt
intelektu	intelekt @@u
intelektualizovávaný	intelekt @@ual @@izová @@v @@a @@n @@ý
intelektuálno	intelekt @@u @@ál @@n @@o
intelektuální	intelekt @@uál @@n @@í
intelektuálními	intelekt @@uál @@n @@ími
intelektuálně	intelekt @@u @@ál @@n @@ě
intelektuálskejma	intelekt @@uál @@sk @@ej @@ma
intelektuálský	intelekt @@uál @@sk @@ý
inteligence	intelig @@enc @@e
inteligenci	intelig @@enc @@i
inter	inter
interesovaný	interes @@ova @@n @@ý
interesovat	interes @@ova @@t
interesu	interes @@u
interforst	inter @@forst
interpelovat	inter @@pel @@ova @@t
interpolovat	inter @@pol @@ova @@t
interpretovat	interpret @@ova @@t
intervenovaly	inter @@ven @@ova @@l @@y
intervenovat	interven @@ova @@t
interviewovat	interview @@ova @@t
intimně	intim @@n @@ě
intimovat	intim @@ova @@t
intonovat	inton @@ova @@t
intrikovat	intrik @@ova @@t
intuice	intuic @@e
intuitivní	intuit @@iv @@n @@í
inu	inu
inventarizovat	in @@vent @@ar @@iz @@ova @@t
invertovat	in @@vert @@ova @@t
invertovávanost	in @@vert @@ová @@v @@a @@n @@ost
investic	in @@vest @@ic
investici	in @@vest @@ic @@i
investiční	in @@vest @@ič @@n @@í
investičních	in @@vest @@ič @@n @@ích
investora	in @@vest @@or @@a
investorské	in @@vest @@or @@sk @@é
investovat	in @@vest @@ova @@t
inzultovat	inzult @@ova @@t
inzulínový	inzulín @@ov @@ý
inžinýři	inžin @@ýř @@i
ionizovat	ion @@iz @@ova @@t
ipad	ipad
irkutsku	irkutsk @@u
ironie	iron @@i @@e
ironizovat	iron @@iz @@ova @@t
